종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
095340,ISC,"149,700","12,500","9.11","39,858,597,200","3,173,199,582,600"
218410,RFHIC,"50,600","2,500","5.20","21,750,970,775","1,341,074,165,200"
036540,SFA반도체,"7,560","590","8.46","48,652,975,815","1,243,319,890,680"
399720,가온칩스,"68,900","3,100","4.71","13,391,974,850","799,268,938,000"
098460,고영,"32,550","400","1.24","89,389,210,850","2,234,712,275,250"
253590,네오셈,"18,770","4,000","27.08","203,189,340,995","823,424,208,280"
348210,넥스틴,"87,600","2,600","3.06","12,472,676,800","917,785,638,000"
078600,대주전자재료,"76,600","900","1.19","17,910,893,350","1,185,813,423,800"
213420,덕산네오룩스,"39,050","1,700","4.55","5,537,150,825","969,657,539,950"
131970,두산테스나,"65,100","2,600","4.16","20,669,687,400","1,258,203,193,800"
108490,로보티즈,"322,000","14,500","4.72","98,757,363,750","4,691,568,336,000"
058470,리노공업,"96,600","1,900","2.01","219,730,358,500","7,362,064,710,000"
059090,미코,"17,760","200","1.14","14,006,287,405","593,481,977,280"
046890,서울반도체,"7,320","200","2.81","2,557,014,825","426,795,528,000"
178320,서진시스템,"36,450","450","1.25","24,742,190,050","2,036,581,019,550"
171090,선익시스템,"59,000","400","0.68","16,195,015,850","566,074,674,000"
108860,셀바스AI,"12,850","170","1.34","4,049,397,490","345,855,051,500"
304100,솔트룩스,"29,500","900","3.15","3,213,543,375","371,518,722,500"
025320,시노펙스,"7,770","230","3.05","7,384,902,975","715,768,538,310"
222800,심텍,"62,500","2,900","4.87","66,023,764,050","2,333,888,625,000"
050890,쏠리드,"8,630","310","3.73","10,493,061,160","524,328,888,420"
214430,아이쓰리시스템,"129,900","10,900","9.16","9,641,742,000","949,207,228,500"
053800,안랩,"63,900","1,200","1.91","2,867,438,050","710,983,733,400"
101490,에스앤에스텍,"89,500","6,300","7.57","36,783,186,100","1,909,471,670,500"
036810,에프에스티,"44,450","1,700","3.98","13,059,036,450","975,959,668,600"
058970,엠로,"41,100","1,550","3.92","2,382,398,850","508,033,154,400"
232140,와이씨,"20,000","2,030","11.30","28,052,573,460","1,640,907,000,000"
032820,우리기술,"9,170","400","4.56","112,879,161,490","1,529,159,764,300"
240810,원익IPS,"114,700","12,900","12.67","104,993,685,600","5,629,923,444,700"
074600,원익QnC,"28,650","2,050","7.71","12,767,127,925","753,151,200,000"
084370,유진테크,"104,200","4,800","4.83","34,094,788,750","2,387,851,576,400"
179900,유티아이,"23,800","300","1.28","1,909,159,175","471,011,805,600"
272290,이녹스첨단소재,"38,200","2,700","7.61","76,296,403,125","761,236,535,600"
039030,이오테크닉스,"396,000","41,500","11.71","54,101,871,500","4,878,541,800,000"
189300,인텔리안테크,"107,100","9,600","9.85","56,543,344,050","1,149,540,071,400"
079370,제우스,"19,740","1,250","6.76","15,798,753,150","612,275,382,600"
204270,제이앤티씨,"23,300","600","2.64","7,231,113,150","1,347,869,257,800"
080220,제주반도체,"41,200","2,000","5.10","130,189,062,750","1,419,044,719,600"
082270,젬백스,"43,800","5,300","13.77","19,593,410,700","1,869,401,038,200"
036930,주성엔지니어링,"44,900","4,050","9.91","63,243,678,975","2,122,347,612,900"
042000,카페24,"40,100","4,200","11.70","8,557,266,400","972,547,465,400"
032500,케이엠더블유,"19,020","950","5.26","7,297,168,500","778,490,673,180"
052400,코나아이,"60,300","3,200","5.60","6,684,302,800","878,166,447,300"
183300,코미코,"116,300","3,100","2.74","21,522,983,050","1,216,577,549,200"
466100,클로봇,"72,000","2,000","2.86","40,274,403,700","1,799,434,008,000"
323280,태성,"74,600","1,600","2.19","46,462,599,600","2,278,133,308,000"
095610,테스,"70,300","3,000","4.46","25,701,691,300","1,389,706,287,800"
089030,테크윙,"47,000","1,800","3.98","44,676,671,950","1,741,521,315,000"
064760,티씨케이,"221,500","14,500","7.00","16,580,908,250","2,476,240,644,000"
131290,티에스이,"87,600","10,100","13.03","25,859,157,250","968,981,180,400"
140860,파크시스템스,"285,000","9,000","3.26","17,404,215,250","1,993,995,945,000"
319660,피에스케이,"60,300","4,800","8.65","19,513,635,250","1,746,692,854,200"
031980,피에스케이홀딩스,"77,900","4,300","5.84","15,044,614,200","1,679,710,570,500"
161580,필옵틱스,"55,300","2,200","4.14","25,570,942,150","1,294,171,909,100"
067310,하나마이크론,"36,950","600","1.65","80,134,128,350","2,453,042,179,450"
166090,하나머티리얼즈,"64,800","4,300","7.11","13,087,444,000","1,281,593,275,200"
030520,한글과컴퓨터,"25,450","850","3.46","4,179,751,475","615,374,484,800"